,City Name,Country,Longitude,Latitude,Max Temp,Humidity,Wind speed,Cloudiness
0,vaini,to,-175.2,-21.2,24.09,94.0,2.06,20.0
1,high level,ca,-117.136,58.5169,6.06,81.0,5.14,75.0
2,suntar,ru,117.6319,62.1444,7.58,78.0,2.88,100.0
3,sorong,id,131.25,-0.8833,26.37,85.0,3.54,100.0
4,kismayo,so,42.5454,-0.3582,27.86,69.0,7.37,26.0
5,felanitx,es,3.1483,39.4696,27.85,62.0,4.51,99.0
6,thompson,ca,-97.8558,55.7435,7.09,81.0,4.12,1.0
7,yellowknife,ca,-114.3525,62.456,4.29,75.0,5.66,1.0
8,albany,au,-73.9662,42.6001,17.27,94.0,1.49,100.0
9,damara,cf,18.7035,4.9608,22.68,71.0,1.43,100.0
10,videira,br,-51.1517,-27.0083,13.61,98.0,1.14,100.0
11,busselton,au,115.3333,-33.65,10.02,59.0,6.91,81.0
12,cap malheureux,mu,57.6142,-19.9842,24.7,71.0,3.58,7.0
13,vershino-darasunskiy,ru,115.5167,52.35,8.77,70.0,2.38,72.0
14,goderich,sl,-81.7165,43.7501,12.17,93.0,2.06,2.0
15,guerrero negro,mx,-114.0611,27.9769,20.72,83.0,6.79,1.0
16,yeppoon,au,150.7333,-23.1333,19.88,70.0,3.29,0.0
17,ixtapa,mx,-105.2,20.7,24.57,98.0,1.25,67.0
18,rikitea,pf,-134.9692,-23.1203,22.79,77.0,5.87,2.0
19,bredasdorp,za,20.0403,-34.5322,15.62,48.0,4.12,75.0
20,cidreira,br,-50.2056,-30.1811,13.1,66.0,1.32,41.0
21,villa corzo,mx,-93.25,16.1667,19.03,98.0,0.9,86.0
22,east london,za,27.9116,-33.0153,15.52,77.0,7.72,75.0
23,siocon,ph,122.1353,7.7061,26.06,85.0,2.86,89.0
24,kaduqli,sd,29.7167,11.0167,31.85,51.0,1.82,48.0
25,morgan city,us,-91.2068,29.6994,26.11,100.0,0.0,90.0
26,butaritari,ki,172.7902,3.0707,28.33,69.0,6.89,58.0
27,hobart,au,147.3294,-42.8794,9.92,82.0,0.45,75.0
28,pevek,ru,170.3133,69.7008,-0.14,95.0,5.0,100.0
29,nanfeng,cn,111.7959,23.7434,26.78,83.0,1.1,100.0
30,tasiilaq,gl,-37.6368,65.6145,3.09,80.0,2.71,96.0
31,nuevo progreso,mx,-97.95,23.1667,25.33,79.0,0.45,100.0
32,isangel,vu,169.2667,-19.55,22.53,85.0,4.21,87.0
33,upernavik,gl,-56.1549,72.7868,-3.61,80.0,3.42,96.0
34,torbay,ca,-52.7314,47.6666,13.1,85.0,9.26,90.0
35,carnarvon,au,113.6333,-24.8667,19.04,63.0,8.75,5.0
36,lagoa,pt,-27.9833,39.05,21.7,79.0,4.48,5.0
37,bengkulu,id,102.2655,-3.8004,27.52,85.0,3.24,45.0
38,yar-sale,ru,70.8333,66.8333,7.12,65.0,6.32,95.0
39,luderitz,na,15.1594,-26.6481,21.11,34.0,10.6,1.0
40,carutapera,br,-46.02,-1.195,25.59,86.0,3.65,7.0
41,san juan,us,-68.5364,-31.5375,12.02,22.0,1.84,0.0
42,tiksi,ru,128.8694,71.6872,6.52,68.0,2.47,100.0
43,tevriz,ru,72.4042,57.509,17.38,58.0,2.59,98.0
44,pangody,ru,74.4859,65.85,7.31,75.0,5.71,97.0
45,garsten,at,14.4035,47.9987,23.86,83.0,2.1,100.0
46,roald,no,6.1333,62.5833,15.18,94.0,2.06,75.0
47,port alfred,za,26.891,-33.5906,16.29,72.0,8.09,96.0
48,punta arenas,cl,-70.9167,-53.15,0.06,80.0,2.06,75.0
49,saint george,bm,-113.5841,37.1041,22.66,22.0,1.54,1.0
50,rundu,na,19.7667,-17.9333,36.67,7.0,1.78,7.0
51,saint-philippe,re,55.7679,-21.3585,26.17,71.0,5.29,0.0
52,marsaxlokk,mt,14.5431,35.8419,28.93,61.0,6.69,0.0
53,geraldton,au,114.6,-28.7667,16.23,55.0,6.17,90.0
54,acarau,br,-40.12,-2.8856,26.77,78.0,7.01,31.0
55,caravelas,br,-39.2481,-17.7125,24.45,79.0,2.08,2.0
56,puerto madero,mx,-92.4215,14.7208,22.11,100.0,2.57,40.0
57,beringovskiy,ru,179.3167,63.05,3.91,78.0,2.74,32.0
58,vila franca do campo,pt,-25.4333,37.7167,22.23,66.0,1.34,9.0
59,baiyin,cn,104.2081,36.5583,20.49,40.0,4.15,10.0
60,prince rupert,ca,-130.3201,54.3161,11.83,93.0,3.09,90.0
61,chokurdakh,ru,147.9167,70.6333,2.68,80.0,3.61,100.0
62,chebenki,ru,55.7077,51.9337,16.86,37.0,5.33,43.0
63,jamestown,sh,-79.2353,42.097,13.93,99.0,0.45,90.0
64,san patricio,mx,-97.5169,28.017,26.01,78.0,2.7,49.0
65,hami,cn,93.45,42.8,31.58,10.0,2.32,86.0
66,rapar,in,70.6333,23.5667,33.65,56.0,3.49,29.0
67,balkanabat,tm,54.3671,39.5108,36.92,9.0,2.33,0.0
68,mataura,pf,168.8643,-46.1927,4.15,91.0,1.24,54.0
69,santa elena,sv,-80.85,-2.2333,20.13,85.0,3.24,100.0
70,sur,om,59.5289,22.5667,33.89,37.0,2.61,88.0
71,salalah,om,54.0924,17.0151,30.05,84.0,5.66,75.0
72,khatanga,ru,102.5,71.9667,1.37,93.0,5.51,100.0
73,lalupon,ng,4.0667,7.4667,26.39,73.0,1.58,97.0
74,mafra,br,-49.8053,-26.1114,12.18,99.0,1.88,100.0
75,lorengau,pg,147.2712,-2.0226,24.98,86.0,2.57,100.0
76,aykhal,ru,111.5,66.0,5.74,56.0,3.24,89.0
77,atuona,pf,-139.0333,-9.8,25.3,71.0,8.96,2.0
78,soskovo,ru,35.3828,52.7475,13.34,47.0,3.18,3.0
79,lebyazhye,ru,66.4947,55.2689,17.42,37.0,7.21,34.0
80,comodoro rivadavia,ar,-67.5,-45.8667,12.92,50.0,5.66,0.0
81,rauma,fi,21.5113,61.1272,10.02,58.0,3.39,97.0
82,ushuaia,ar,-68.3,-54.8,-0.19,74.0,3.6,40.0
83,norman wells,ca,-126.8329,65.282,7.02,70.0,2.06,75.0
84,sungaipenuh,id,101.3833,-2.0833,21.4,93.0,0.75,98.0
85,myshkin,ru,38.4545,57.7897,6.71,74.0,3.69,100.0
86,viedma,ar,-62.9967,-40.8135,8.28,59.0,1.4,0.0
87,yulara,au,130.9889,-25.2406,29.91,21.0,3.09,84.0
88,mar del plata,ar,-57.5575,-38.0023,7.01,81.0,5.14,0.0
89,bluff,nz,168.3333,-46.6,4.33,68.0,5.4,75.0
90,laramie,us,-105.5911,41.3114,15.51,31.0,3.6,1.0
91,kabare,cd,28.8242,-2.4683,25.16,50.0,1.47,98.0
92,kalabo,zm,22.6814,-14.97,37.38,13.0,3.07,21.0
93,oksfjord,no,22.3479,70.2396,9.04,63.0,2.56,100.0
94,alofi,nu,-169.9187,-19.0595,22.94,88.0,2.57,3.0
95,hermanus,za,19.2345,-34.4187,13.74,64.0,3.48,100.0
96,qaqortoq,gl,-46.0333,60.7167,1.28,57.0,1.34,98.0
97,kamenka,ru,42.7678,51.3223,15.1,38.0,6.0,37.0
98,victoria,sc,114.1577,22.2855,29.62,75.0,0.45,41.0
99,baruun-urt,mn,113.2792,46.6806,16.95,46.0,3.78,0.0
100,ahipara,nz,173.1667,-35.1667,14.18,97.0,2.37,63.0
101,okhotsk,ru,143.3,59.3833,10.42,90.0,4.25,96.0
102,katsuura,jp,140.3,35.1333,23.06,78.0,7.03,67.0
103,belmonte,br,-38.8828,-15.8631,21.28,80.0,2.02,21.0
104,pacific grove,us,-121.9166,36.6177,13.65,90.0,0.89,90.0
105,abu dhabi,ae,54.3667,24.4667,43.06,14.0,1.03,0.0
106,ostrovnoy,ru,39.5131,68.0531,7.49,87.0,8.54,100.0
107,luwuk,id,122.7875,-0.9516,24.43,89.0,2.06,100.0
108,wismar,de,11.4667,53.9,17.36,88.0,2.68,100.0
109,gallup,us,-108.7426,35.5281,14.45,35.0,0.0,1.0
110,palmer,us,-72.3287,42.1584,19.23,82.0,0.0,75.0
111,puerto ayora,ec,-90.3518,-0.7393,19.75,91.0,1.79,43.0
112,shu,kz,73.7614,43.5983,30.97,14.0,3.76,81.0
113,nantucket,us,-70.0995,41.2835,23.06,94.0,3.09,1.0
114,te anau,nz,167.7167,-45.4167,3.34,97.0,2.59,77.0
115,port elizabeth,za,25.5701,-33.918,16.72,94.0,6.69,75.0
116,hilo,us,-155.09,19.7297,26.27,94.0,2.06,90.0
117,ilulissat,gl,-51.1,69.2167,-3.99,39.0,2.06,20.0
118,tura,ru,90.2201,25.5198,27.15,89.0,0.42,100.0
119,gayny,ru,54.3241,60.3071,3.45,98.0,4.61,100.0
120,magnolia,us,-93.2393,33.2671,21.82,99.0,2.28,12.0
121,faanui,pf,-151.75,-16.4833,25.93,75.0,8.75,1.0
122,poronaysk,ru,143.1167,49.2167,13.98,81.0,5.2,84.0
123,bethel,us,-73.414,41.3712,21.56,90.0,2.57,90.0
124,kultuk,ru,103.6956,51.7208,14.26,67.0,1.26,24.0
125,lapua,fi,23.0088,62.9693,8.89,50.0,2.37,87.0
126,urengoy,ru,78.3667,65.9667,9.6,59.0,2.92,59.0
127,shimoda,jp,138.95,34.6667,22.52,80.0,6.83,53.0
128,yeniseysk,ru,92.1703,58.4497,11.31,62.0,2.09,100.0
129,gvarv,no,9.1737,59.3875,12.37,92.0,2.32,100.0
130,portland,au,-122.6762,45.5234,10.34,80.0,0.45,1.0
131,mount gambier,au,140.7667,-37.8333,10.95,76.0,0.0,0.0
132,avarua,ck,-159.775,-21.2078,24.03,78.0,5.66,20.0
133,gonen,tr,27.654,40.1049,27.37,45.0,5.43,7.0
134,gazanjyk,tm,55.5154,39.2446,38.53,8.0,2.59,0.0
135,kapaa,us,-159.319,22.0752,23.99,85.0,0.45,75.0
136,bubaque,gw,-15.8333,11.2833,26.95,77.0,1.4,100.0
137,bonfim,br,-59.95,3.0833,23.4,80.0,0.79,1.0
138,francistown,bw,27.5079,-21.17,34.15,14.0,2.23,1.0
139,ahuimanu,us,-157.8378,21.4447,25.84,77.0,2.57,20.0
140,zhezkazgan,kz,67.7144,47.8043,27.89,18.0,7.92,0.0
141,yarkovo,ru,67.0786,57.4028,16.17,41.0,4.53,56.0
142,plastun,ru,136.2939,44.7561,14.8,78.0,1.68,100.0
143,ballina,au,153.5667,-28.8667,15.98,74.0,3.6,1.0
144,san quintin,mx,-115.95,30.4833,19.63,84.0,4.9,0.0
145,cambridge,us,-80.3127,43.3601,13.63,95.0,0.0,1.0
146,provideniya,ru,-173.3,64.3833,4.08,65.0,1.27,100.0
147,petropavlovsk-kamchatskiy,ru,158.6483,53.0452,6.33,93.0,1.0,0.0
148,wenling,cn,121.36,28.3669,25.54,82.0,1.24,100.0
149,kushmurun,kz,64.6311,52.4503,20.8,39.0,7.89,64.0
150,verkhnetulomskiy,ru,31.7962,68.6073,5.07,71.0,1.86,99.0
151,kruisfontein,za,24.7314,-34.0033,15.49,76.0,5.84,87.0
152,hay river,ca,-115.7999,60.8156,7.99,76.0,3.6,75.0
153,leningradskiy,ru,178.4167,69.3833,-1.85,92.0,2.39,100.0
154,rosetta,eg,30.4164,31.4044,27.24,56.0,8.25,1.0
155,matagami,ca,-77.6328,49.7502,4.06,100.0,3.09,75.0
156,gat,ly,34.7642,31.61,29.32,28.0,7.25,18.0
157,barrow,us,-156.7887,71.2906,1.01,80.0,4.12,90.0
158,tateyama,jp,139.8667,34.9833,23.01,78.0,7.03,64.0
159,margate,za,1.3862,51.3813,21.21,78.0,1.63,46.0
160,los llanos de aridane,es,-17.9182,28.6585,22.86,77.0,6.69,75.0
161,codrington,ag,141.9667,-38.2667,8.1,91.0,4.38,18.0
162,hamilton,bm,-84.5333,39.1834,19.47,95.0,2.06,90.0
163,bouar,cf,15.596,5.934,27.51,58.0,1.61,96.0
164,tuktoyaktuk,ca,-133.0374,69.4541,6.46,87.0,3.57,45.0
165,mindelo,cv,-24.9804,16.8901,27.75,69.0,9.26,40.0
166,constitucion,mx,-72.4167,-35.3333,9.16,80.0,2.73,0.0
